Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.779999,160.729996,158.330002,160.619995,155.761810,22622100
2020-01-03,158.320007,159.949997,158.059998,158.619995,153.822311,21116200
2020-01-06,157.080002,159.100006,156.509995,159.029999,154.219910,20813700
2020-01-07,159.320007,159.669998,157.320007,157.580002,152.813766,21634100
2020-01-08,158.929993,160.800003,157.949997,160.089996,155.247818,27746500
2020-01-09,161.839996,162.220001,161.029999,162.089996,157.187363,21385000
2020-01-10,162.820007,163.220001,161.179993,161.339996,156.460037,20725900
2020-01-13,161.759995,163.309998,161.259995,163.279999,158.341339,21626500
2020-01-14,163.389999,163.600006,161.720001,162.130005,157.226151,23477400
2020-01-15,162.619995,163.940002,162.570007,163.179993,158.244354,21417900
2020-01-16,164.350006,166.240005,164.029999,166.169998,161.143936,23865400
2020-01-17,167.419998,167.470001,165.429993,167.100006,162.045822,34371700
2020-01-21,166.679993,168.190002,166.429993,166.500000,161.463959,29517200
2020-01-22,167.399994,167.490005,165.679993,165.699997,160.688156,24138800
2020-01-23,166.190002,166.800003,165.270004,166.720001,161.677307,19680800
2020-01-24,167.509995,167.529999,164.449997,165.039993,160.048096,24918100
2020-01-27,161.149994,163.380005,160.199997,162.279999,157.371597,32078100
2020-01-28,163.779999,165.759995,163.070007,165.460007,160.455429,24899900
2020-01-29,167.839996,168.750000,165.690002,168.039993,162.957367,34754500
2020-01-30,174.050003,174.050003,170.789993,172.779999,167.554016,51597500
2020-01-31,172.210007,172.399994,169.580002,170.229996,165.081116,36142700
2020-02-03,170.429993,174.500000,170.399994,174.380005,169.105621,30107000
2020-02-04,177.139999,180.639999,176.309998,180.119995,174.671982,36433300
2020-02-05,184.029999,184.199997,178.410004,179.899994,174.458649,39186300
2020-02-06,180.970001,183.820007,180.059998,183.630005,178.075836,27751400
2020-02-07,182.850006,185.630005,182.479996,183.889999,178.327988,33529100
2020-02-10,183.580002,188.839996,183.250000,188.699997,182.992462,35844300
2020-02-11,190.649994,190.699997,183.500000,184.440002,178.861313,53159900
2020-02-12,185.580002,185.850006,181.850006,184.710007,179.123184,47062900
2020-02-13,183.080002,186.229996,182.869995,183.710007,178.153442,35295800
2020-02-14,183.250000,185.410004,182.649994,185.350006,179.743790,23149500
2020-02-18,185.610001,187.699997,185.500000,187.229996,181.566971,27792200
